Designator,Mid X,Mid Y,Rotation,Layer
C1,70.2487,-39.4208,0,top
C10,71.540002,-67.925,90,top
C11,54.39,-51.41,0,top
C12,53.24,-56.54,180,top
C13,35.0552,-56.5886,90,top
C14,33.715,-46.506,0,top
C15,73.8533,-60.389599,0,top
C16,75.8233,-62.239599,0,top
C17,36.855,-56.816,90,top
C18,45.6438,-37.1094,270,top
C19,33.765,-42.426,0,top
C2,74.9287,-36.810799,270,top
C20,35.2525,-44.896,0,top
C21,37.615,-45.646,90,top
C22,35.772499,-64.7025,180,top
C23,34.234999,-70.4825,180,top
C24,51.7667,-37.7447,270,top
C3,75.13,-40.31,90,top
C4,65.8887,-46.2708,90,top
C5,72.328701,-46.250799,90,top
C6,74.9387,-50.670799,270,top
C7,64.208699,-54.4958,270,top
C8,66.7816,-80.323599,270,top
C9,64.8716,-80.0986,270,top
CR1,32.058998,-62.3095,270,top
D1,80.14,-34.21,270,top
D2,64.4087,-38.4708,270,top
D3,60.79,-41.692499,270,top
D4,33.52,-33.2,270,top
D5,79.02955,-66.26,180,top
D6,60.919199,-32.4114,270,top
J1,60.96,-27.94,90,bottom
J2,27.94,-67.31,180,bottom
J3,27.94,-48.26,180,bottom
J4,40.75,-32.79,180,bottom
J8,80.01,-53.34,0,bottom
L1,72.0987,-41.6808,0,top
Q2,67.370001,-32.2625,270,top
R10,75.93955,-66.26,0,top
R11,71.540002,-70.959999,90,top
R17,55.4425,-35.0716,0,top
R2,66.6637,-35.930801,180,top
R20,60.9092,-35.5214,90,top
R3,80.14,-37.2475,90,top
R4,64.4187,-41.5208,90,top
R5,68.9687,-36.755801,90,top
R7,60.79,-44.77,90,top
R8,33.52,-36.225,90,top
U1,71.8312,-36.8808,0,top
U10,34.54,-51.23,180,top
U2,68.9987,-46.2708,180,top
U3,69.4387,-52.2708,0,top
U4,72.824701,-62.739999,270,top
U5,53.975,-72.39,180,top
U6,53.975,-53.975,0,top
U7,40.0304,-37.6174,270,top
U8,55.3212,-39.8892,0,top
U9,34.059999,-67.5625,90,top
